Tree #,0.0-0.5m_dead,0.0-0.5m_live,0.5-1.0m_dead,0.5-1.0m_live,1.0-1.5m_dead,1.0-1.5m_live,1.5-2.0m_dead,1.5-2.0m_live,2.0-2.5m_dead,2.0-2.5m_live,2.5-3.0m_dead,2.5-3.0m_live,3.0-3.5m_dead,3.0-3.5m_live,3.5-4.0m_dead,3.5-4.0m_live,4.0-4.5m_dead,4.0-4.5m_live,4.5-5.0m_dead,4.5-5.0m_live,5.0-5.5m_dead,5.0-5.5m_live,5.5-6.0m_dead,5.5-6.0m_live,Total (DW g)
pfrr_tree_1,32.5,23.986,63.765,0,42.445,26.715,0.845,86.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.151
pfrr_tree_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_3,62.4,343.05,84.5,342.6,26.975,114.75,6.175,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.95
pfrr_tree_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_6,76.05,0,120.25,101.3,91,79.85,66.885,365.85,39.65,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131.735
pfrr_tree_7,29.9,6.555,34.905,55.805,5.2,19.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.09
pfrr_tree_8,18.46,43.41,33.215,18.315,10.855,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.155
pfrr_tree_9,17.355,89.985,48.75,95.43,6.175,210.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.4
pfrr_tree_10,52.65,181.455,61.75,10.3,74.75,39.9,27.95,85.1,0,269.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.03
pfrr_tree_11,17.55,27.615,2.145,53.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.974
pfrr_tree_12,16.64,27.355,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.495
pfrr_tree_13,8.84,19.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.915
pfrr_tree_14,49.4,74.5,15.925,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.225
pfrr_tree_15,31.59,0,80.6,0,149.5,0,195,0,147.55,18.95,230.75,39.425,164.45,28.595,17.615,18.8,0,0,0,0,0,0,0,0,1122.825
pfrr_tree_16,113.23,24.685,36.01,152.15,38.61,0,34.19,39.665,71.37,79.79,123.5,0,54.21,71.22, ,,0,0,0,0,0,0,0,0,838.63
pfrr_tree_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_19,120.64,0,214.5,0,198.25,50.965,142.35,0,107.25,362.925,103.35,162.25,201.5,197.4,42.9,307.35,24.505,296.7,1.625,26.715,,,,,2561.175
pfrr_tree_20,247,92.65,240.5,0,234,66.665,75.01,220.45,148.85,90.35,267.8,100.28,442,88.8,406.25,141.745,163.8,175.15,0,21,0,230.8, , ,3453.1
pfrr_tree_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_22,0,0,50.765,8.025,91,0,234,31.375,175.5,69.475,422.5,153.3,247,166.25,110.5,222.65,461.5,234.37,510.25,54.35,377,107.405,0,873.75,3727.215