#,tree#,Subplot #<E-W>,Subplot #<S-N>,X (E-W) (m),Y (S-N) (m),Species,DBH_2010 (cm),TreeHeight_2010 (m),Canopy projection (cm)_2010_N,Canopy projection (cm)_2010_W,Canopy projection (cm)_2010_S,Canopy projection (cm)_2010_E,Lowest foliage height_2010 (m),DBH2014 (cm),TreeHeight_2014 (m)
1,J1,1,1,1.35,0.17,Picea mariana,2.1,2.1,NA,NA,NA,NA,NA,2.2,2.51
2,J2,1,1,4.2,0.13,Picea mariana,3.7,3.16,NA,NA,NA,NA,NA,3.64,3.15
3,J3,1,1,5.93,0.72,Picea mariana,5.6,5,NA,NA,NA,NA,NA,5.8,5
4,J4,1,1,8.27,0.3,Picea mariana,2.7,2.48,27,15,35,NA,0.2,2.7,2.59
5,J5,1,1,8.6,0.3,Picea mariana,3.9,3.28,NA,NA,NA,NA,NA,4,3.33
6,J6,1,1,8.74,0.14,Picea mariana,3.1,3,NA,NA,NA,NA,NA,3,3.08
7,J8,1,1,5.3,3.26,Picea mariana,6.7,5,NA,NA,NA,NA,NA,6.4,5.3
8,J9,1,1,2.05,2.77,Picea mariana,0.6,1.46,NA,NA,NA,NA,NA,0.5,1.43
9,J10,1,1,3.6,1.3,Picea mariana,0.6,1.39,NA,NA,NA,NA,NA,0.91,1.51
10,J11,1,1,1.5,2.41,Picea mariana,3.4,2.84,NA,NA,NA,NA,NA,3.1,3.02
11,J12,1,1,0.5,1.95,Picea mariana,5.9,4.39,NA,NA,NA,NA,NA,6.9,4.69
12,J13,1,1,0.2,2.05,Picea mariana,0.3,1.32,NA,NA,NA,NA,NA,0.5,1.28
13,J14,1,1,0.55,3.9,Picea mariana,2.5,1.97,NA,NA,NA,NA,NA,2.6,1.98
14,J15,1,1,5.4,4.3,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,0.65,1.41
15,J16,1,1,6.3,4.45,Picea mariana,0.7,1.36,NA,NA,NA,NA,NA,0.88,1.5
16,J17,1,1,7.5,5.33,Picea mariana,5.1,5.9,NA,NA,NA,NA,NA,5.2,7.6
17,J18,1,1,8.7,6.08,Picea mariana,0.5,1.42,NA,NA,NA,NA,NA,0.67,1.28
18,J19,1,1,9.1,5.66,Picea mariana,2.4,2.13,NA,NA,NA,NA,NA,2.34,2.2
19,J20,1,1,9.9,8.15,Picea mariana,1.6,1.85,NA,NA,NA,NA,NA,1.67,1.93
20,J21,1,1,7.1,7.93,Picea mariana,1.8,1.75,46,42,37,42,0.6,2.06,1.92
21,J22,1,1,6.5,5.86,Picea mariana,2,2.02,NA,NA,NA,NA,NA,1.98,2.1
22,J23,1,1,5.3,6.94,Picea mariana,3.6,3.1,53,35,NA,NA,0.8,3.37,3.26
23,J24,1,1,3.45,6.61,Picea mariana,1.6,1.72,NA,NA,NA,NA,NA,1.71,1.76
24,J25,1,1,1.75,5.32,Picea mariana,3.6,3.15,NA,NA,NA,NA,NA,3.3,3.29
25,J26,1,1,0.1,7.64,Picea mariana,3.6,3.25,NA,NA,NA,NA,NA,3.3,3.34
26,J27,1,1,0.8,7.87,Picea mariana,1.1,1.66,NA,NA,NA,NA,NA,1.4,1.75
27,J28,1,1,1,7.34,Picea mariana,1.4,1.85,NA,NA,NA,NA,NA,1.63,1.91
28,J29,1,1,1.8,7.41,Picea mariana,1.6,1.75,NA,NA,NA,NA,NA,1.78,1.85
29,J30,1,1,1.9,7.49,Picea mariana,2.1,1.79,NA,NA,NA,NA,NA,2.17,1.77
30,J31,1,1,2,7.24,Picea mariana,2.4,1.93,NA,NA,NA,NA,NA,2.44,1.91
31,J32,1,1,2.1,7.11,Picea mariana,1.4,1.52,NA,NA,NA,NA,NA,1.66,1.53
32,J33,1,1,2.3,7.36,Picea mariana,3.3,2.77,NA,NA,NA,NA,NA,3.94,2.91
33,J34,1,1,2.1,6.83,Picea mariana,3,2.21,NA,NA,NA,NA,NA,3.21,2.24
34,J35,1,1,6.1,9.88,Picea mariana,2.6,2.4,NA,NA,NA,NA,NA,2.53,2.41
35,J36,1,1,6.5,9.83,Picea mariana,2.6,2.77,NA,NA,NA,NA,NA,2.9,2.79
36,J37,1,1,7,9.84,Picea mariana,1.5,1.65,NA,NA,NA,NA,NA,1.46,1.66
37,J38,1,1,7,9.81,Picea mariana,2.8,2.76,NA,NA,NA,NA,NA,2.78,2.78
38,J39,1,1,7,9.72,Picea mariana,4.3,4.17,NA,NA,NA,NA,NA,4.82,4.22
39,J40,1,1,7.2,9.72,Picea mariana,2.1,2.27,NA,NA,NA,NA,NA,2.17,2.24
40,J41,1,1,6.9,9.23,Picea mariana,0.8,1.48,NA,NA,NA,NA,NA,1.03,1.6
41,J42,1,1,7.2,9.01,Picea mariana,0.8,1.5,NA,NA,NA,NA,NA,1.07,1.52
42,J43,1,1,9.2,9.29,Picea mariana,2.7,2.37,NA,NA,NA,NA,NA,2.61,2.48
43,J44,2,1,11.2,8.3,Picea mariana,NA,1.33,NA,NA,NA,NA,NA,0.5,1.37
44,J45,2,1,10.7,7.79,Picea mariana,2.2,2.15,NA,NA,NA,NA,NA,2.14,2.16
45,J46,2,1,10.6,7.54,Picea mariana,3.4,3.34,NA,NA,NA,NA,NA,3.75,3.58
46,J47,2,1,10.9,7.64,Picea mariana,5.1,4.5,NA,NA,NA,NA,NA,4.49,5.1
47,J48,2,1,11.2,6.47,Picea mariana,3.3,2.74,NA,NA,NA,NA,NA,3.51,2.74
48,J49,2,1,11.4,6.83,Picea mariana,2.3,1.91,NA,NA,NA,NA,NA,2.23,1.92
49,J50,2,1,13.1,9.72,Picea mariana,0.4,1.38,NA,NA,NA,NA,NA,0.67,1.45
50,J51,2,1,14.1,7.64,Picea mariana,2.1,1.92,NA,NA,NA,NA,NA,2.1,1.97
51,J52,2,1,16,8.78,Picea mariana,1.3,1.55,NA,NA,NA,NA,NA,1.56,1.77
52,J53,2,1,17.05,9.67,Picea mariana,5.4,4.45,NA,NA,NA,NA,NA,5.3,4.6
53,J54,2,1,18.7,9.24,Picea mariana,2.7,2.56,NA,NA,NA,NA,NA,2.81,2.71
54,J55,2,1,18.9,8.99,Picea mariana,2.2,2.18,NA,NA,NA,NA,NA,2.31,2.21
55,J56,2,1,18.5,7.03,Picea mariana,1.3,1.77,NA,NA,NA,NA,NA,1.59,1.96
56,J57,2,1,17.5,7.72,Picea mariana,3.2,2.81,NA,NA,NA,NA,NA,3.41,2.89
57,J58,2,1,17.5,5.97,Picea mariana,NA,1.31,46,30,31,38,0.4,0.99,1.38
58,J59,2,1,14.9,6.3,Picea mariana,1.1,1.71,NA,NA,NA,NA,NA,2.08,1.82
59,J60,2,1,14.8,5.46,Picea mariana,3.6,3.07,NA,NA,NA,NA,NA,3.96,3.21
60,J61,2,1,14.5,5.33,Picea mariana,0.5,1.35,NA,NA,NA,NA,NA,NA,1.31
61,J62,2,1,13.2,4.9,Picea mariana,1.4,1.66,50,38,47,32,0.2,1.78,1.6
62,J63,2,1,12.6,6.02,Picea mariana,4.8,4.37,NA,NA,NA,NA,NA,5.18,4.53
63,J64,2,1,12.55,5.84,Picea mariana,2,1.75,NA,NA,NA,NA,NA,2.26,1.75
64,J65,2,1,12.4,5.99,Alnus rugosa,NA,1.33,NA,NA,NA,NA,NA,NA,1.22
65,J66,2,1,10.25,4.85,Picea mariana,5.9,4.23,NA,NA,NA,NA,NA,6.14,4.22
66,J67,2,1,10.15,3.7,Picea mariana,2.9,2.98,NA,NA,NA,NA,NA,2.98,2.82
67,J68,2,1,10.85,3.86,Picea mariana,2.7,2.43,NA,NA,NA,NA,NA,2.73,2.46
68,J69,2,1,14.45,4.09,Picea mariana,1.5,1.84,NA,NA,NA,NA,NA,1.87,1.99
69,J70,2,1,16,3.81,Picea mariana,NA,1.32,NA,NA,NA,NA,NA,0.91,1.45
70,J71,2,1,16.7,4.23,Picea mariana,2,2.28,NA,NA,NA,NA,NA,2.01,1.98
71,J72,2,1,17,3.99,Picea mariana,2.9,2.68,NA,NA,NA,NA,NA,3.03,2.72
72,J73,2,1,17.2,4.03,Picea mariana,2.2,2.35,NA,NA,NA,NA,NA,2.24,2.35
73,J74,2,1,17.25,3.35,Picea mariana,2.5,2.05,NA,NA,NA,NA,NA,2.33,2.13
74,J75,2,1,17.4,3.77,Picea mariana,4.4,3.82,NA,NA,NA,NA,NA,4.5,3.79
75,J76,2,1,17.47,3.85,Picea mariana,3.5,3.33,NA,NA,NA,NA,NA,3.4,3.31
76,J77,2,1,17.7,3.92,Picea mariana,1.7,1.83,NA,NA,NA,NA,NA,1.73,1.84
77,J78,2,1,17.7,3.73,Picea mariana,1.3,1.8,NA,NA,NA,NA,NA,1.15,2.03
78,J79,2,1,18.36,3.61,Picea mariana,2.4,2.26,NA,NA,NA,NA,NA,2.3,2.29
79,J80,2,1,17.9,4.14,Picea mariana,1.8,1.94,NA,NA,NA,NA,NA,1.42,2.2
80,J81,2,1,18.36,4.24,Picea mariana,1.7,2.25,NA,NA,NA,NA,NA,1.77,2.29
81,J82,2,1,18.7,4.46,Picea mariana,3.1,2.43,NA,NA,NA,NA,NA,2.83,3.25
82,J83,2,1,17.77,4.97,Picea mariana,1.6,1.95,NA,NA,NA,NA,NA,1.55,2.13
83,J84,2,1,18.28,2.79,Picea mariana,2.1,2.04,NA,NA,NA,NA,NA,2.74,2.16
84,J85,2,1,14.7,2.57,Picea mariana,0.6,1.4,NA,NA,NA,NA,NA,1.38,1.56
85,J86,2,1,13.92,2.24,Picea mariana,2.9,2.26,NA,NA,NA,NA,NA,2.98,2.39
86,J87,2,1,13.67,2.39,Picea mariana,2.3,2.27,NA,NA,NA,NA,NA,2.41,2.22
87,J88,2,1,13.67,1.85,Picea mariana,2.4,2.48,NA,NA,NA,NA,NA,2.54,2.49
88,J89,2,1,11.9,1.15,Alnus rugosa,0.9,1.64,NA,NA,NA,NA,NA,NA,1.16
89,J90,2,1,11.35,0.87,Picea mariana,2.7,2.57,NA,NA,NA,NA,NA,2.53,2.55
90,J91,2,1,11.25,0.87,Picea mariana,2.6,2.6,NA,NA,NA,NA,NA,2.61,2.65
91,J92,2,1,11.15,0.8,Picea mariana,1.7,1.84,NA,NA,NA,NA,NA,2.13,1.84
92,J93,2,1,11.1,0.6,Picea mariana,2.8,2.72,NA,NA,NA,NA,NA,2.97,2.76
93,J94,2,1,11.58,0.15,Picea mariana,2.7,2.13,NA,NA,NA,NA,NA,2.34,2.09
94,J95,2,1,13.23,0.25,Picea mariana,1,1.52,NA,NA,NA,NA,NA,1.15,1.59
95,J96,2,1,15.15,0.55,Picea mariana,0.4,1.37,NA,NA,NA,NA,NA,0.67,1.45
96,J97,2,1,16.75,0.29,Picea mariana,1.5,1.71,NA,NA,NA,NA,NA,1.72,1.77
97,J98,2,1,18.55,0,Picea mariana,0.5,1.38,NA,NA,NA,NA,NA,0.64,1.41
98,J99,3,1,21.7,1.54,Picea mariana,NA,1.33,NA,NA,NA,NA,NA,0.62,1.41
99,J100,3,1,23.4,1.14,Picea mariana,2.3,2.24,NA,NA,NA,NA,NA,2.86,2.54
100,J101,3,1,23.5,0.62,Picea mariana,1.9,1.92,NA,NA,NA,NA,NA,2.12,2.01
101,J102,3,1,23.9,1.04,Picea mariana,0.2,1.49,NA,NA,NA,NA,NA,NA,1.35
102,J103,3,1,27.1,0.25,Picea mariana,3.2,2.95,40,NA,NA,61,0,3.57,3.12
103,J104,3,1,27.8,0.46,Picea mariana,1.1,1.68,NA,NA,NA,NA,NA,1.4,1.72
104,J105,3,1,27.92,1.64,Picea mariana,4.1,3.04,NA,NA,NA,NA,NA,4.17,3.29
105,J106,3,1,27.2,2.41,Picea mariana,0.8,1.41,NA,NA,NA,NA,NA,1.46,1.53
106,J107,3,1,27.1,3.89,Picea mariana,1,1.59,NA,NA,NA,NA,NA,1.32,1.68
107,J108,3,1,26.17,3.37,Picea mariana,2.9,2.55,NA,NA,NA,NA,NA,3.14,2.64
108,J109,3,1,25.46,4.23,Picea mariana,1.8,2.16,NA,NA,NA,NA,NA,2.3,2.3
109,J110,3,1,20.75,4.33,Picea mariana,2.7,2.45,NA,NA,NA,NA,NA,2.94,2.64
110,J111,3,1,20.4,6.37,Picea mariana,1.5,1.71,NA,NA,NA,NA,NA,1.37,1.91
111,J112,3,1,21.9,7.39,Picea mariana,0.6,1.4,NA,NA,NA,NA,NA,1.08,1.5
112,J113,3,1,23.5,5.46,Picea mariana,NA,1.32,NA,NA,NA,NA,NA,0.58,1.39
113,J114,3,1,23.8,7.01,Picea mariana,1.6,1.51,NA,NA,NA,NA,NA,0.97,1.62
114,J115,3,1,25.4,5.48,Picea mariana,1.6,1.8,NA,NA,NA,NA,NA,1.89,1.84
115,J116,3,1,25.43,6.04,Picea mariana,4.8,3.98,NA,55,45,42,0.1,4.82,4.21
116,J117,3,1,24.8,7.26,Picea mariana,1.6,1.85,NA,NA,NA,NA,NA,1.9,1.99
117,J118,3,1,29.05,6.35,Alnus rugosa,0.3,1.4,NA,NA,NA,NA,NA,NA,1.29
118,J119,3,1,29.25,6.42,Picea mariana,2.8,2.65,NA,NA,NA,NA,NA,3.49,3.18
119,J120,3,1,29.5,6.37,Alnus rugosa,0.7,1.52,NA,NA,NA,NA,NA,NA,0
120,J121,3,1,23.8,7.84,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,1.1,1.46
121,J122,3,1,23.4,8.4,Picea mariana,0.6,1.36,NA,NA,NA,NA,NA,0.73,1.52
122,J123,3,2,23.5,10.3,Picea mariana,2.4,2.25,NA,NA,NA,NA,NA,2.99,2.3
123,J124,3,2,23.4,10.38,Picea mariana,1.5,1.51,NA,NA,NA,NA,NA,0.99,1.56
124,J125,3,1,22.4,9.78,Picea mariana,2.9,2.48,NA,NA,NA,NA,NA,3.24,2.53
125,J126,3,1,22.2,9.57,Picea mariana,4.8,3.99,NA,NA,NA,NA,NA,4.9,4.13
126,J127,3,2,22.2,10.33,Picea mariana,4.6,4.28,NA,NA,NA,NA,NA,4.52,4.43
127,J128,3,2,22.6,10.61,Picea mariana,1.4,1.85,NA,NA,NA,NA,NA,1.71,1.97
128,J129,3,2,21.2,11.42,Picea mariana,3.5,2.64,NA,NA,NA,NA,NA,3.85,2.95
129,J130,3,2,22.4,12.24,Picea mariana,0.7,1.42,NA,NA,NA,NA,NA,0.85,1.41
130,J131,3,2,22.5,12.69,Picea mariana,1.8,1.96,NA,NA,NA,NA,NA,2.01,1.99
131,J132,3,2,22.5,12.79,Picea mariana,2.4,2.31,NA,NA,NA,NA,NA,2.5,2.36
132,J133,3,2,23,12.51,Picea mariana,2.3,2.51,NA,NA,NA,NA,NA,2.62,2.78
133,J134,3,2,22.9,13.43,Picea mariana,0.7,1.46,NA,NA,NA,NA,NA,1.07,1.64
134,J135,3,2,26.6,12.9,Picea mariana,5.8,4.93,60,63,NA,NA,0.6,5.87,4.9
135,J136,3,2,26.9,12.39,Picea mariana,1.1,1.64,NA,NA,NA,NA,NA,1.49,1.95
136,J137,3,2,28.6,11.75,Picea mariana,3,2.92,NA,NA,NA,NA,NA,3.01,3.02
137,J138,3,2,29,11.8,Picea mariana,3.7,2.92,NA,NA,NA,NA,NA,3.84,3.09
138,J139,3,2,26.2,15.13,Picea mariana,2.7,2.56,NA,42,36,32,0.5,2.83,2.46
139,J140,3,2,25.6,14.69,Picea mariana,4.6,3.81,NA,NA,NA,NA,NA,4.73,3.99
140,J141,3,2,24.8,15.74,Picea mariana,4.6,3.68,NA,NA,NA,NA,NA,4.15,3.83
141,J142,3,2,24.7,15.91,Picea mariana,NA,1.32,NA,NA,NA,NA,NA,NA,1.24
142,J143,3,2,24.6,15.89,Picea mariana,3,2.73,NA,NA,NA,NA,NA,3.26,2.84
143,J144,3,2,21.9,14.57,Picea mariana,1.5,1.73,NA,NA,NA,NA,NA,1.66,1.82
144,J145,3,2,22.2,17.95,Picea mariana,1.7,1.8,NA,NA,NA,NA,NA,1.93,1.82
145,J146,3,2,22.1,18.33,Picea mariana,1.9,1.96,NA,NA,NA,NA,NA,2.09,2.01
146,J147,3,2,22.8,18.1,Picea mariana,1.4,1.66,NA,NA,NA,NA,NA,1.89,1.85
147,J148,3,2,24.3,17.79,Picea mariana,4.4,3.75,NA,NA,NA,NA,NA,4.73,3.92
148,J149,3,2,24.7,19.6,Picea mariana,6.1,4.95,NA,NA,NA,NA,NA,6.4,5.2
149,J150,3,2,25.8,19.75,Picea mariana,1.8,1.99,NA,NA,NA,NA,NA,2.16,2.22
150,J151,3,2,25.6,18.05,Alnus rugosa,0.2,1.33,NA,NA,NA,NA,NA,NA,0.81
151,J152,3,2,26.4,17.67,Picea mariana,2.7,2.5,NA,NA,NA,NA,NA,3.07,2.67
152,J153,3,2,27.7,18.05,Picea mariana,2,2.11,NA,NA,NA,NA,NA,2.01,2.16
153,J154,3,2,27.9,18.33,Picea mariana,2.3,2.39,NA,NA,NA,NA,NA,2.25,2.53
154,J155,3,2,27.7,17.87,Picea mariana,7,5,NA,NA,NA,NA,NA,6.66,4.9
155,J156,3,2,28.2,17.82,Picea mariana,7.7,5.6,NA,60,84,35,1.1,7.57,6.1
156,J157,3,2,29.9,18.78,Picea mariana,3,2.28,NA,NA,NA,NA,NA,3.36,2.39
157,J158,2,2,19.6,18.15,Picea mariana,3,2.6,NA,NA,NA,NA,NA,3,2.76
158,J159,2,2,18.6,18.56,Picea mariana,1.4,1.82,NA,NA,NA,NA,NA,1.82,2.01
159,J160,2,2,16.9,17.51,Picea mariana,NA,1.36,NA,NA,NA,NA,NA,0.8,1.54
160,J161,2,2,16.5,17.34,Picea mariana,0.8,1.61,NA,NA,NA,NA,NA,1.32,1.73
161,J162,2,2,10.8,19.65,Picea mariana,2.7,1.91,NA,NA,NA,NA,NA,2.6,2.01
162,J163,2,2,10.3,19.32,Picea mariana,5.7,4.9,NA,NA,NA,NA,NA,5.72,5.2
163,J164,2,2,10.2,19.62,Picea mariana,3.2,2.63,NA,NA,NA,NA,NA,3.3,2.68
164,J165,2,2,10.2,19.04,Picea mariana,4.2,3.81,NA,NA,NA,NA,NA,4.03,3.7
165,J166,2,2,10.9,17.08,Picea mariana,1.3,1.73,NA,NA,NA,NA,NA,1.44,1.82
166,J167,2,2,13,17.36,Picea mariana,1.8,1.6,NA,NA,NA,NA,NA,1.7,1.63
167,J168,2,2,13.2,17.46,Picea mariana,0.6,1.41,NA,NA,NA,NA,NA,1.3,1.5
168,J169,2,2,13.6,16.57,Picea mariana,1,1.66,NA,NA,NA,NA,NA,1,1.76
169,J170,2,2,19.7,16.52,Picea mariana,0.4,1.4,NA,NA,NA,NA,NA,0.9,1.47
170,J171,2,2,19.8,15.2,Picea mariana,1.7,1.79,NA,NA,NA,NA,NA,2.04,2.12
171,J172,3,2,20.6,12.92,Picea mariana,3.5,3.04,NA,NA,NA,NA,NA,3.68,3.11
172,J173,2,2,19.7,12.59,Picea mariana,0.3,1.37,NA,NA,NA,NA,NA,0.55,1.44
173,J174,2,2,16.6,12.67,Picea mariana,1.7,1.93,NA,NA,NA,NA,NA,1.89,2.01
174,J175,2,2,15.6,13.4,Picea mariana,2,2.17,60,45,25,29,0.4,2.05,2.4
175,J176,2,2,15.5,13.99,Picea mariana,1,1.68,NA,NA,NA,NA,NA,1.45,1.8
176,J177,2,2,15.4,13.3,Alnus rugosa,0.2,1.44,NA,NA,NA,NA,NA,NA,NA
177,J178,2,2,14.8,12.82,Picea mariana,2,2.18,NA,NA,NA,NA,NA,NA,NA
178,J179,2,2,14.6,13.07,Picea mariana,1.4,1.58,NA,NA,NA,NA,NA,NA,NA
179,J180,2,2,13.6,14.5,Picea mariana,0.9,1.54,NA,NA,NA,NA,NA,NA,NA
180,J181,2,2,13.4,15.46,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,NA,NA
181,J182,2,2,10.3,15.61,Picea mariana,0.4,1.37,NA,17,NA,25,8.4,0.9,1.45
