SiteID,Total Leaf Area (m^2),Ground area (m^2),LAI (m2/m^2),Leaf_Biomass (g / m^2),WoodyBiomass (g/m^2),Total_above_ground_biomass (g/m^2),Cloudberry_leaf_biomass  (g/m^2),Cotton_Grass_leaf_biomass (g/m^2),Bilberry_leaf_biomass (g/m^2),Cranberry_leaf_biomass (g/m^2),BogBirch_leaf_biomass (g/m^2),Black Spruce_leaf_biomass (g/m^2),Labrador Tea_leaf_biomass (g/m^2),Others_leaf_biomass (g/m^2),Cloudberry_woody_biomass  (g/m^2),Cotton_Grass_woody_biomass (g/m^2),Bilberry_woody_biomass (g/m^2),Cranberry_woody_biomass (g/m^2),BogBirch_woody_biomass (g/m^2),Black Spruce_woody_biomass (g/m^2),Labrador Tea_woody_biomass (g/m^2),Others_woody_biomass (g/m^2),Dry Material_biomass (g/m^2)
U-0,0.3366,0.25,1.347,175.24,111.24,286.48,33.08,7.68,2.64,58.80,5.60,25.80,27.80,13.84,6.84,0.00,5.08,18.80,17.60,18.52,29.80,1.60,13.00
U-1,0.1713,0.25,0.685,93.76,81.64,175.40,18.88,0.00,1.80,9.40,5.00,22.76,30.56,5.36,3.12,0.00,5.72,3.20,8.12,13.60,36.72,6.76,4.40
U-2,0.2131,0.25,0.852,93.20,59.60,152.80,35.60,0.00,6.00,15.60,0.80,4.00,26.80,4.40,5.20,0.00,20.00,4.00,0.40,3.20,26.00,0.80,0.00
U-3,0.1638,0.25,0.655,73.20,31.20,104.40,29.20,0.00,0.40,16.00,2.80,11.60,11.60,1.60,4.00,0.00,0.00,5.20,2.00,7.20,12.40,0.40,0.00
U-4,0.1242,0.25,0.497,70.28,50.28,120.56,5.96,12.60,7.60,11.60,0.00,0.00,32.52,0.00,0.96,0.00,13.60,2.80,0.00,0.00,23.36,0.00,9.56
U-5,0.2346,0.25,0.939,83.80,27.84,111.64,54.92,0.00,5.00,8.24,0.00,0.00,15.28,0.36,9.44,0.00,5.68,2.80,0.00,0.00,9.80,0.12,0.00
U-6,0.1211,0.25,0.484,53.52,14.00,67.52,23.08,2.16,0.00,11.20,0.00,0.00,16.84,0.24,2.96,0.00,0.00,2.80,0.00,0.00,6.64,0.56,1.04
U-7,0.2288,0.25,0.915,137.60,170.52,308.12,3.64,45.84,5.84,36.24,1.24,6.40,38.28,0.12,1.12,0.00,18.72,16.96,2.80,11.84,72.44,0.12,46.52
U-8,0.0806,0.25,0.322,30.20,8.16,38.36,13.65,0.00,0.31,7.88,0.00,0.00,1.12,0.47,1.49,0.00,0.09,4.03,0.00,0.00,0.59,0.12,0.00
U-9,0.1818,0.25,0.727,78.72,38.04,116.76,12.56,0.00,0.40,1.80,0.23,0.00,11.46,0.62,1.87,0.00,0.43,0.48,0.17,0.00,9.46,0.67,0.00
U-10,0.2021,0.25,0.808,82.20,32.76,114.96,37.52,0.00,5.12,6.04,0.00,0.00,25.00,8.52,5.32,0.00,5.96,1.24,0.00,0.00,16.16,4.08,0.00
U-11,0.2583,0.25,1.033,113.20,52.00,165.20,45.60,2.00,5.60,13.20,0.00,1.60,40.00,5.20,6.00,0.00,7.60,4.00,0.00,0.80,30.00,3.60,0.00
U-12,0.2800,0.25,1.120,121.60,52.40,174.00,54.40,0.00,3.60,14.40,0.00,0.00,47.20,2.00,11.20,0.00,6.80,3.60,0.00,0.00,29.60,1.20,0.00
U-13,0.1921,0.25,0.768,68.96,25.04,94.00,42.84,0.00,0.32,2.88,0.00,0.00,10.20,12.72,6.68,0.00,0.44,0.44,0.00,0.00,7.84,7.76,1.88
U-14,0.2004,0.25,0.802,124.00,107.60,231.60,12.00,6.40,7.60,17.20,0.00,1.60,78.40,0.80,1.60,0.00,18.80,4.40,0.00,0.40,62.00,1.20,19.20
U-15,0.1458,0.25,0.583,64.40,48.00,112.40,21.20,0.80,3.60,4.40,4.00,0.00,24.00,6.40,2.40,0.00,13.20,1.20,9.20,0.00,20.40,1.60,0.00
Total,3.1347,4,0.784,1463.88,910.32,2374.20,444.13,77.48,55.83,234.88,19.67,73.76,437.05,62.64,70.20,0.00,122.12,75.95,40.29,55.56,393.21,30.60,95.60