SiteID,UTM_Zone6_East,UTM_Zone6_North,Latitude,Longtude
U-1,477086.36,7222335.73,65.1238,147.4882
U-2,477097.43,7222333.52,65.1237,147.4879
U-3,477099.53,7222338.75,65.1238,147.4879
U-4,477103.33,7222337.94,65.1238,147.4878
U-5,477110.53,7222347.02,65.1239,147.4877
U-6,477106.25,7222357.98,65.1240,147.4877
U-7,477097.01,7222359.05,65.1240,147.4879
U-8,477099.24,7222362.15,65.1240,147.4879
U-9,477094.65,7222356.84,65.1239,147.4880
U-10,477097.85,7222357.71,65.1240,147.4879
U-11,477093.08,7222348.49,65.1239,147.4880
U-12,477084.32,7222344.99,65.1238,147.4882
U-13,477083.19,7222343.55,65.1238,147.4882
U-14,477075.62,7222343.05,65.1238,147.4884
U-15,477071.86,7222354.23,65.1239,147.4885